协心戮力 道合志同 同心合胆 身在曹营心在汉 百虑攒心
正正经经 切近的当 应节合拍 好拿样 襟怀磊落
事与原违 名不符实 不切实际 言行不符 诞幻不经
齐名并价 重望高名 时望所归 身显名扬 富贵显荣
落荒而走 水火不避 避强打弱 避强击惰 避强击弱
絮絮叨叨 数东瓜，道茄子 黏皮带骨 百舌之声 一口三舌
龙章凤彩 鲜艳夺目 林下风度 衣冠楚楚 滴粉搓酥
三等九般 以类相从 三六九等 各色各样 各色名样
无私有意 以己之心，度人之心 以己之心，度人之腹 以直抱怨 以意逆志
以手加额 像心称意 方寸之地 逞奇眩异 逞怪披奇
朝歌夜弦 朝歌暮弦 忙里偷闲 载歌且舞 饱食终日
眉睫之内 十万八千里 离题万里 若即若离 海角天涯
坑蒙拐骗 局骗拐带 招摇撞骗 盗食致饱 营私作弊
地瘠民贫 民困国贫 振穷恤寡 贫困潦倒 挨冻受饿
推本溯源 积本求原 追本穷源 研精竭虑 研精致思
安土乐业 退步抽身 告老还乡 旧地重游 返我初服
轻财重士 轻财敬士 轻财好士 轻财仗义 轻财重义
同心一力 同心叶力 同心并力 同心合力 同德协力
合情合理 理之当然 惬心贵当 可心如意 入情入理
锦天绣地 焚香扫地 明窗净几 鸡犬桑麻 枕稳衾温
山林隐逸 寄迹山林 栖丘饮谷 肥遯鸣高 枕岩漱流
调虎离山 走为上计 防患未萌 去危就安 高而不危
长眠不起 一命归西 神灭形消 骨化形销 一命归阴
按步就班 例行差事 照章办事 奉行故事 奉公如法
正色厉声 碎尸万段 正色敢言 危言正色 绳之以法
胡思乱量 游思妄想 胡思乱想 胡说乱道 驴唇马觜
握发吐哺 大厦栋梁 珪璋特达 家骥人璧 栋梁之才
洁己奉公 修身洁行 逶迤退食 重气徇命 重气猣名
重山复水 峰回路转 重岩叠嶂 龙盘凤舞 横峰侧岭
醉生梦死 如醉初醒 记忆犹新 如梦初觉 如梦方醒
牵肠割肚 疾首痛心 失魂丧魄 拊心泣血 肝心若裂
闳识孤怀 远见卓识 超世之才 雄材大略 有识之士
点头咂嘴 代人说项 代为说项 荣谐伉俪 鸿渐之仪
毫不利己，专门利人 自私自利 独行其是 先人后己 有己无人
同声相应 同声相应，同气相求 惺惺相惜 多情多感 声求气应
层见叠出 层出不穷 层见迭出 颠来簸去 累屋重架
利害得失 损人利己 得失荣枯 损己利人 一举两得
啮雪餐毡 狼艰狈蹶 熬姜呷醋 枯鱼病鹤 如蹈水火
千汇万状 交相辉映 千变万状 诸色人等 怪形怪状
虚位以待 以礼相待 和睦相处 亲仁善邻 尊师贵道
闪烁其词 敬终慎始 业业矜矜 甄心动惧 言高语低
拂袖而去 拂袖而归 奋袂而起 投袂而起 袒臂挥拳
超群拔类 超群绝伦 超群越辈 超世绝伦 后进领袖
朝前夕惕 骑牛读汉书 带月披星 刺股悬梁 悬梁刺骨
傲头傲脑 九牛拉不转 铜心铁胆 勇猛果敢 不拔之志
深铭肺腑 耿耿于心 永志不忘 荡魂摄魄 刊心刻骨
休声美誉 知名当世 鼎鼎有名 重望高名 雄伟壮观
移风平俗 易俗移风 改政移风 变风易俗 变风改俗
懵懵懂懂 藏头亢脑 若隐若现 混混沌沌 一无所知
大有起色 鸟枪换炮 点石成金 焕然一新 匡乱反正
东奔西撞 东碰西撞 一溜烟 狼奔兔脱 落荒而逃
歼一警百 令人起敬 刀下留人 生荣死衰 生荣死哀
咬紧牙关 发奋图强 抱不平 救难解危 持权合变
寂然无声 寂然不动 默默无言 悄然无声 更深人静
二心两意 三天打鱼，两天晒网 三日打鱼，两日晒网 小手小脚 迟疑不决
横冲直闯 专横跋扈 大肆挥霍 粗制滥造 放浪无拘
兰质蕙心 瑶林琼树 花颜月貌 锦心绣肠 千伶百俐
稳步前进 操纵自如 谨行俭用 信守不渝 当务始终
见机而作 稳步前进 事不宜迟 当机立决 相机而动
游戏笔墨 游戏翰墨 调墨弄笔 嬉笑怒骂 雄文大手
逸群之才 宏才大略 雄材大略 才夸八斗 雄才大略
狼子兽心 人面兽心 惨无人道 兽心人面 灭绝人性
令人起敬 敬老尊贤 驿使梅花 驿路梅花 临别赠语
妙语惊人 言语妙天下 妙不可言 神至之笔 语妙天下
将心比心 坦然自若 敬终慎始 百般奉承 表里相符
东扬西荡 形影自守 杳无人烟 天南海北 不上不落
三六九等 众多非一 名目繁多 目别汇分 以类相从
山崩地陷 重山峻岭 地崩山摧 山崩地裂 山崩地坼
东奔西逃 东奔西窜 东逃西窜 闯南走北 仓皇无措
全智全能 全知全能 用其所长 多才多艺 看家本领
志得意满 志满意得 径情直行 归全反真 径行直遂
杳不可闻 忍无可忍 寂然无声 死声活气 不绝于耳
平心静气 神情自若 原封未动 避李嫌瓜 甄心动惧
长篇大套 枝词蔓说 众说纷揉 来回来去 层出不穷
平心而论 不愧下学 志美行厉 以人为镜 平心易气
一反常态 变名易姓 改名换姓 还原反本 改行自新
火上弄冰 手到拈来 热熬翻饼 排山压卵 掌上观纹
旁搜博采 反复推敲 积小成大 积少成多 兼收并畜
怜贫惜老 惜老怜贫 怜贫恤老 赈贫贷乏 振穷恤寡
深仇大恨 深仇重怨 同心敌忾 嫉贪如雠 不解之仇
斗志昂扬 野心勃勃 摩拳擦掌 龙争虎斗 虎斗龙争
誉不绝口 赞口不绝 赞不绝口 称赏不已 赞叹不已
铤鹿走险 悬崖撒手 拼死拼活 挺而走险 疑行无成
面如土色 口沸目赤 面若死灰 白发苍颜 白发苍苍
救难解危 扶危救困 振穷恤寡 救困扶危 分贫振穷
拽巷攞街 拽巷啰街 拽巷逻街 大吆小喝 攘攘熙熙
心神不定 心慌撩乱 感慨激昂 心烦意冗 心烦虑乱
时望所归 威震天下 誉满天下 重望高名 身显名扬
优哉游哉 吃喝玩乐 栖冲业简 选妓征歌 安身乐业
砥志研思 研精致思 研精竭虑 埋头苦干 竭力虔心
负诟忍尤 骂不绝口 攻瑕指失 嘟嘟哝哝 狗屁不通
才墨之薮 凫居雁聚 人言籍籍 柳陌花丛 柳陌花衢
大相迳庭 天冠地屦 言行相悖 众寡悬殊 大有迳庭
稳步前进 方兴未已 方滋未艾 长虑后顾 长虑却顾
斗志昂扬 艰苦奋斗 桀骜自恃 不挠不屈 拼死拼活
一言一行 一介之善 一分耕耘，一分收获 人尽其才 一举两得
陈辞滥调 陈词滥调 老朽无能 陈言肤词 因循守旧
曾参杀人 危言竦论 口壅若川 燕巢卫幕 恫疑虚喝
按捺不住 悲愤填膺 忿然作色 怫然作色 不由自主
时来运旋 时来运来 否去泰来 否终复泰 否往泰来
卑鄙无耻 全无心肝 不以为耻 无耻之尤 恶恶从短
甘旨肥浓 山珍海味 雕蚶镂蛤 靡衣玉食 珍禽异兽
眼馋肚饱 攫金不见人 饿虎饥鹰 饥鹰饿虎 失魂丧胆
有风有化 家骥人璧 入铁主簿 材雄德茂 才夸八斗
咬紧牙关 改行为善 救难解危 排忧解难 百般抚慰
变化无穷 破家荡产 词穷理绝 穷困潦倒 徒有其名
三五成群 三三两两 攒三聚五 成双作对 通同一气
敌力角气 一元大武 横刀揭斧 服牛乘马 独揽大权
相映成趣 饶有风趣 鲜艳夺目 游心骇耳 相生相成
语焉不详 不了不当 顿足不前 停滞不前 贫而无谄
有心无力 轻虑浅谋 事败垂成 劳而无功 事与原违
陷于缧绁 缧绁之忧 俯首就缚 束身就缚 锒铛入狱
居重驭轻 安国宁家 持衡拥璇 拥兵自固 诘戎治兵
历精图治 励精求治 历精为治 忧国奉公 保国安民
慎小事微 慎小谨微 谨行俭用 甄心动惧 打小算盘
面不改色 面不改容 死样活气 神意自若 嬉皮笑脸
还年驻色 延年益寿 还年卻老 还年却老 驻颜有术
雄文大手 博学多才 雅人韵士 才学兼优 跌宕风流
肩背相望 继继承承 继古开今 守先待后 首尾相连
异地相逢 抛乡离井 离乡背土 旧地重游 陌路相逢
社威擅势 倚势凌人 鬻宠擅权 假力于人 大权在握
知足不辱 知足知止 知足常乐 恶不去善 超然自得
逸群之才 超世之才 才识过人 名过其实 多才多艺
通首至尾 谨始虑终 自始自终 自始至终 方来未艾
暮景残光 余霞散绮 桑榆末景 夕阳西下 日落西山
言之谆谆，听之藐藐 耳听心受 妄言妄听 倾耳细听 自不待言
匠心独运 旷世逸才 独步天下 天下独步 领异标新
怒气冲冲 雷嗔电怒 愤愤不平 直眉睖眼 愁眉蹙额
落叶知秋 叶落知秋 一叶知秋 一叶落知天下秋 梧桐一叶落
飞书走檄 奋笔疾书 拈毫弄管 摇笔即来 染翰成章
营营逐逐 应节合拍 朝种暮获 打铁趁热 搬唇弄舌
胡说乱道 造谣生事 妄下雌黄 淫辞邪说 詀言詀语
策无遗算 稳步前进 不爽毫发 通计熟筹 沉谋重虑
没精打彩 萎糜不振 再衰三涸 凤狂龙躁 垂头塌翅
救苦救难 救困扶危 救难解危 振穷恤寡 振穷恤贫
乱七八糟 污七八糟 乌七八糟 东横西倒 烦言碎辞
同力协契 一心一力 交颈并头 齐心合力 齐心协力
点指画字 点纸画字 抱柱之信 名副其实 有凭有据
云集响应 众口一辞 一心同归 上下同心 同心并力
救死扶危 吊死扶伤 救急扶伤 回春妙手 救困扶危
口直心快 通情达理 安份守己 安分守已 安分守己
利深祸速 盈满之咎 发财致富 声威大震 有增无已
好声好气 如鱼似水 温润而泽 凤协鸾和 雍容不迫
张慌失措 形色仓皇 急不暇择 汲汲皇皇 慌不择路
楞头楞脑 失惊打怪 木头木脑 昏昏默默 神经错乱
绳之以法 碎尸万段 以杀止杀 以杀去杀 严刑峻法
远见卓识 闳识孤怀 有识之士 独得之见 宏才大略
执法如山 金汤之固 恩重如山 铁证如山 确乎不拔
见义必为 见义勇为 见义敢为 见义当为 捐身徇义
东扭西捏 拿腔做势 涎皮赖脸 恶作剧 拿腔作调
忐忑不安 心慌撩乱 惶惶不安 惶恐不安 忐忐忑忑
神龙见首 掷地作金石声 龙章秀骨 鸿笔丽藻 倒峡泻河
唇不离腮 团头聚面 痛痒相关 朝夕相处 打得火热
儗非其伦 无与伦比 儗不于伦 无其伦比 无与比伦
碎尸万段 赏善罚恶 折节待士 法外施仁 除邪惩恶
本相毕露 真相毕露 合盘托出 原形败露 凶相毕露
食租衣税 民生在勤 民生国计 国计民生 节用爱民
南贩北贾 奔走钻营 民生在勤 东奔西跑 东奔西走
忧国爱民 病国殃民 与民除害 为民除害 护国佑民
钻火得冰 煎水作冰 一手托天 道傍之筑 乌头白，马生角
旧瓶装新酒 故伎重演 故技重演 别创一格 别开一格
才疏志大 超世之才 有识之士 雄材大略 有志无时
正大堂煌 正大堂皇 端人正士 返邪归正 回邪入正
一败涂地 河决鱼烂 身败名隳 身废名裂 打落水狗
相形见绌 命词遣意 移有足无 圆首方足 爬梳剔抉
翩翩少年 鸾回凤翥 翩翩风度 婆娑起舞 鸾歌凤舞
泛泛之谈 泛泛而谈 大发谬论 肤末支离 谈空说有
改行为善 改行从善 改行迁善 积习难除 改过自新
无所容心 行不履危 少安无躁 防祸于未然 秉节持重
杏脸桃腮 鱼沉雁落 仙姿玉色 仪静体闲 鹄峙鸾停
神情恍惚 舒眉展眼 不懂装懂 神色不动 神色不惊
富国裕民 民富国强 富国安民 国富民丰 裕民足国
化整为零 三翻四复 杂乱无序 昼伏夜动 千变万状
骈兴错出 遍地开花 人才辈出 有增无已 断决如流
骐骥过隙 流光易逝 窗间过马 击电奔星 流星飞电
不避艰险 艰苦奋斗 愤不顾身 忘生舍死 临危授命
投卵击石 东向而望，不见西墙 面壁磨砖 不知丁董 三日打鱼，两日晒网
话中有话 话里有话 众口一词 一语双关 异口同音
贵贱无常 贵贱高下 改换家门 久居人下 屈高就下
食甘寝宁 枕稳衾温 三平二满 鼓腹含和 称心如意
诡诞不经 诞幻不经 诞妄不经 诞谩不经 诞罔不经
乐业安居 鸡犬桑麻 安心乐业 世外桃源 鸥波萍迹
闯南走北 如水赴壑 蜂拥而上 百川朝海 众川赴海
毛发丝粟 片鳞半爪 一肢半节 一丝半粟 一草一木
言之不预 坐而论道 语无诠次 语焉不详 无庸赘述
违乡负俗 删华就素 违时绝俗 离世遁上 还淳返朴
人尽其才 自得其乐 径情直行 发奋图强 无往不克
不计其数 杂乱无序 总总林林 烟霏雨散 烟霏雾集
应变无方 坚执不从 达权知变 抱令守律 不可移易
匡乱反正 救偏补弊 持权合变 匡谬正俗 兴利除害
学而时习之 日省月试 日省月课 三翻四复 一日三复
张口掉舌 言无伦次 课语讹言 嗑牙料嘴 磕牙料嘴
一日三省 熟读深思 反身自问 反躬自省 知往鉴今
七穿八烂 七穿八洞 飘风苦雨 一塌糊涂 马毛猬磔
出纳之吝 据为己有 慎小事微 好行小慧 谨行俭用
缘情体物 始末缘由 始末原由 因人制宜 倒果为因
温香艳玉 林下风度 袅袅亭亭 翩若惊鸿 千娇百媚
宏儒硕学 通儒达士 博物多闻 学富才高 材能兼备
大中至正 一碗水端平 公平正直 公正无私 公正不阿
受宠若惊 闻宠若惊 知遇之恩 忐忑不定 忑忑忐忐
此一时彼一时 历日旷久 有年无月 日久天长 天长日久
坐卧不安 亡魂丧魄 卧不安席 踨蹐不安 手足失措
删华就素 优游岁月 栖冲业简 朴实无华 熬清守谈
抱关执籥 抱关执钥 主守自盗 拿贼拿赃 拿贼见赃
垂饵虎口 饕餮之徒 饕口馋舌 食不下咽 剩菜残羹
天道宁论 积讹成蠹 异端邪说 无稽之谈 枉物难消
盗食致饱 粜风卖雨 装神弄鬼 坑蒙拐骗 五虚六耗
比肩迭迹 比肩叠迹 肩摩踵接 趾踵相接 架肩接踵
自愧弗如 羞面见人 愧不敢当 自愧不如 愧悔无地
原形败露 本相毕露 喜行于色 情见于色 真相毕露
转灾为福 福过灾生 遇难成祥 遇难呈祥 福不重至，祸必重来
一隅之说 秕言谬说 树同拔异 视同一律 比量齐观
居心险恶 除恶务尽 进善惩恶 贼子乱臣 贼臣乱子
长风破浪 蹈锋饮血 我武惟扬 铁面枪牙 破浪乘风
屏声敛息 万赖无声 万籁无声 万赖俱寂 饮气吞声
敬终慎始 慎小事微 词严义密 言寡尤，行寡悔 甄心动惧
不偏不党 公平正直 一碗水端平 无偏无陂 弃瑕忘过
引人注目 大声疾呼 属人耳目 令人注目 名流巨子
有始无终 有始有卒 为德不卒 半半拉拉 所作所为
诱掖奖劝 临别赠言 百般抚慰 赏一劝众 赏一劝百
杳无信息 音信杳无 杳无音信 无可奉告 杳无音耗
诗礼传家 半部论语治天下 世济其美 谬种流传 前言往行
付之丙丁 火急火燎 予取予携 予取予夺 椎锋陷阵
以肉啖虎 割肉饲虎 洪水猛兽 养虎伤身 饿虎扑羊
利灾乐祸 遇难呈祥 遇难成祥 成人之善 助天为虐
引鬼上门 同恶相求 整冠纳履 狼奔鼠偷 狐群狗党
大政方针 同德协力 大有作为 稳步前进 敦本务实
明赏不费 奖罚分明 论功受赏 赏立诛必 计功行赏
猿悲鹤怨 猿惊鹤怨 猿啼鹤唳 猿啼鹤怨 鹤唳猿声
巨细无遗 无际可寻 不爽毫发 完好无缺 不偏不党
佯轮诈败 操之过激 没轻没重 星落云散 败于垂成
浮收勒折 浮收勒索 增收节支 因事制宜 量入计出
没精打彩 萎糜不振 凤狂龙躁 行眠立盹 槁形灰心
烟霏雨散 烟霏雾集 总总林林 连车平斗 人满为患
入地无门 上天无路，入地无门 穷途末路 不上不落 艰难困苦
播弄是非 斗唇合舌 搬口弄舌 钝口拙腮 条三窝四
将天就地 爬梳剔抉 各得其宜 拿糖作醋 捉班做势
悔其少作 绮纨之岁 白齿青眉 锦瑟华年 锦瑟年华
一无所求 免开尊口 不足为凭 烦文缛礼 何足介意
汲汲忙忙 人满为患 杂乱无序 哄动一时 课语讹言
推本溯源 积本求原 叩源推委 绝其本根 追本穷源
取而代之 易地而处 居轴处中 圆首方足 一席之地
洁己从公 公正廉明 克己奉公 奉公如法 公事公办
诞幻不经 诞妄不经 诞罔不经 诞谩不经 诡诞不经
去暗投明 明光烁亮 人人皆知 出有入无 胸怀磊落
恶语伤人 造谣中伤 恶语中伤 破口大骂 涤瑕蹈隙
当面错过 逢机遘会 时无再来 交臂失之 事败垂成
应变无方 达权知变 履机乘变 逐机应变 唯所欲为
正直无私 守正不挠 公正无私 秉公任直 公正不阿
无妄之忧 惹是招非 耽惊受怕 忧谗畏讥 忧深思远
张灯结彩 悬灯结彩 别开一格 别创一格 挂灯结彩
巴高望上 攀高接贵 攀高结贵 钜人长德 高情远意
昼干夕惕 甄心动惧 昼警夕惕 一日三省 敕始毖终
指手画脚 颠唇簸嘴 乱弹琴 别置一喙 撮科打哄
名闻遐迩 都中纸贵 众望攸归 鼎鼎大名 云屯蚁聚
鲁卫之政 异口同音 七七八八 同符合契 同德同心
道弟称兄 连枝同气 如手如足 手足之情 亲如手足
戕身伐命 惨无人道 逞凶肆虐 刀光血影 凌弱暴寡
云阶月地 云堦月地 步月登云 九天九地 近水楼台
生龙活虎 不拘形迹 欢迸乱跳 烂熳天真 烂漫天真
梯山架壑 高不可登 陡壁悬崖 钻山塞海 东踅西倒
潦原浸天 暮夜无知 渺无人烟 惨无天日 童山濯濯
急中生智 计无所出 无所施其技 百计千方 千方百计
